CS22   | AI_POD     | AI-FIRST POD DELIVERY — GE HEALTHCARE ENGINEERING
CS23   | AI_POD     | CAAS GLOBAL MEDTECH ENGINEERING
CS24   | WORKFORCE  | GCC ENABLEMENT — HANDHELD ULTRASOUND (MEDTECH)
CS25   | WORKFORCE  | MAMMOGRAPHY EXCELLENCE — AI-ENHANCED DIAGNOSTICS
CS26   | AI_POD     | PATIENT CARE SOLUTIONS — MOBILE APP & DEVSECOPS
CS27   | AI_POD     | CAAS GLOBAL AUTOMOTIVE OEM ENGINEERING
CS28   | AI_POD     | CYBERSECURITY — PENTESTING TO COMPLIANCE
CS29   | AI_POD     | APP STORE RATING RECOVERY FOR DIGITAL BANK
CS30   | AI_POD     | DEVSECOPS PIPELINE FOR OPEN BANKING
CS31   | AI_POD     | MANAGED TESTING FOR OTT PLATFORM LAUNCH — US TELECOM
CS32   | AI_POD     | SAP PERFORMANCE TESTING FOR HIGH-LOAD HEALTH INSURANCE
CS33   | AI_POD     | E-LEARNING AUTOMATION FOR LEADING EDTECH PROVIDER
CS34   | AI_POD     | NEXT-GENERATION GAMING CONSOLE ENGINEERING
CS36   | MS         | RAPID SECURE ODC DEPLOYMENT
CS37   | WORKFORCE  | GREENFIELD AI-READY GCC BUILD — MAJOR US AIRLINE
CS38   | WORKFORCE  | GREENFIELD TO APAC INNOVATION HUB — 15-YEAR BFSI EVOLUTION
CS39   | WORKFORCE  | FINANCE & TECHNOLOGY COE BUILD — GLOBAL INDUSTRIAL LEADER (SULZER)
CS40   | WORKFORCE  | ZERO-DISRUPTION WORKFORCE SCALING FOR HEALTHCARE IT
CS41   | WORKFORCE  | CA & FINANCE TALENT PIPELINE — GLOBAL ALTERNATIVE ASSET MANAGER
CS42   | MS         | CORE BANKING TRANSFORMATION & SUPPORT OPTIMIZATION
CS43   | MS         | CLOUD MIGRATION & 24x7 INFRASTRUCTURE SUPPORT
CS44   | MS         | GLOBAL PHARMACEUTICAL PROCESS EXCELLENCE
CS46   | MS         | PROCUREMENT CYCLE COMPRESSION
CS47   | MS         | DEMAND-DRIVEN MATERIAL PLANNING
CS48   | MS         | NX CAD TOOLKIT & MACRO CONSOLIDATION
CS49   | MS         | AGENTIC QUALITY ROOT CAUSE INTELLIGENCE
CS50   | MS         | SHEET METAL FORMING INTELLIGENCE
CS51   | MS         | AERODYNAMIC SIMULATION INTELLIGENCE
CS52   | MS         | PREDICTIVE O&M INTELLIGENCE FOR RENEWABLE ASSETS
CS53   | MS         | AI ASSISTANT FOR SELL-SIDE EQUITY RESEARCH
CS54   | MS         | MAINFRAME COST OPTIMIZATION — BANKING
CS55   | MS         | DEAL SOURCING INTELLIGENCE — VENTURE CAPITAL
CS56   | MS         | AGENTIC INVOICE & CASH MANAGEMENT
CS57   | MS         | LOAD BALANCING & DEMAND RESPONSE
CS58   | MS         | AIOPS CONTROL TOWER
CS59   | MS         | BATTERY ON CLOUD — EV FLEET INTELLIGENCE
CS60   | MS         | CARBON TRACKING & EMISSION INTELLIGENCE
CS69   | None       | PRE & POST CONTRACT INTELLIGENCE
CS70   | None       | 8D, FMEA AND DOCUMENT INTELLIGENCE
CS71   | MS         | WELD VISION AND JOINT INTEGRITY ANALYTICS
CS72   | MS         | AI-FIRST QUALITY GATES AT INBOUND
CS73   | MS         | PREDICTIVE MAINTENANCE INTELLIGENCE
CS74   | MS         | INDUSTRY 4.0 INTELLIGENCE — SPECIALTY CHEMICALS
CS75   | MS         | OPERATIONAL DIGITAL TWIN — OFFSHORE OIL & GAS
CS76   | None       | ORDER-TO-DELIVERY ENGINE
CS77   | MS         | TOUCHLESS INVOICE PROCESSING
CS78   | WORKFORCE  | IT-OT CONVERGENCE SECURITY
CS79   | AI_POD     | INTELLIGENT QUALITY ENGINEERING — PLM
CS80   | MS         | AGENTIC SDLC TRANSFORMATION
CS81   | None       | AUTONOMOUS INCIDENT REMEDIATION
CS82   | MS         | APPLICATION PERFORMANCE MANAGEMENT
CS83   | MS         | COMMAND CENTER & NETWORK OPERATIONS SECURITY
CS84   | MS         | MULTI-CLOUD GOVERNANCE & INTEGRATION FRAMEWORK
CS85   | MS         | INTELLIGENT ENTERPRISE ORCHESTRATION
CS86   | MS         | AGENTIC AI GOVERNANCE IMPLEMENTATION
CS87   | MS         | LLMOPS AND GENAI OBSERVABILITY
CS88   | None       | AI GOVERNANCE AND GUARDRAILS
CS89   | MS         | SAM AND HAM — IT ASSET MANAGEMENT
CS90   | AI_POD     | DEVSECOPS PIPELINE FOR OPEN BANKING — BFSI
CS91   | MS         | AGENTIC ORDER-TO-CASH TRANSFORMATION
CS92   | MS         | CLOSE AND CONTROL COPILOT
CS93   | MS         | AI/ML AND INTELLIGENT AUTOMATION — FINANCIAL INSTITUTIONS
CS94   | MS         | AI-POWERED FINANCIAL RECONCILIATION
CS95   | MS         | MARKET DATA COST OPTIMIZATION & CONVERSATIONAL ANALYTICS
CS96   | MS         | CLEARSIGHT — CHEQUE CLEARING AUTOMATION
CS97   | MS         | CONTACTFLOW AI — CONTACT CENTER INTELLIGENCE
CS98   | WORKFORCE  | VOICEVISTA — CALL INTELLIGENCE & QA AUTOMATION
