  1 | AI Pods                | Healthcare Technology        | AI-FIRST POD DELIVERY — the client HEALTHCARE ENGINEERING
  2 | AI Pods                | Retail Technology            | AI-FIRST POD CONVERSION
  3 | AI Pods                | Automotive Engineering       | CAAS GLOBAL AUTOMOTIVE OEM ENGINEERING
  4 | AI Pods                | Healthcare Technology        | CAAS GLOBAL MEDTECH ENGINEERING
  5 | AI Pods                | Healthcare Technology        | The client HEALTHCARE POD GOVERNANCE IN PRACTICE
  6 | AI Pods                | Healthcare Technology        | GCC ENABLEMENT FOR GLOBAL MEDTECH — HANDHELD ULTRASOUND
  7 | AI Pods                | Healthcare Technology        | MAMMOGRAPHY EXCELLENCE — AI-ENHANCED DIAGNOSTICS
  8 | AI Pods                | Healthcare Technology        | PATIENT CARE SOLUTIONS — MOBILE APP AND DEVSECOPS
  9 | AI Pods                | Media                        | NEXT-GENERATION GAMING CONSOLE ENGINEERING
 10 | AI Pods                | Banking                      | CYBERSECURITY CAPABILITY — PENTESTING TO COMPLIANCE
 11 | AI Pods                | Technology                   | CUSTOM HRMS MOBILE APPLICATION FOR GLOBAL IT SERVICES LEADER
 12 | AI Pods                | Banking                      | DEVSECOPS PIPELINE FOR OPEN BANKING DIGITAL TRANSFORMATION
 13 | AI Pods                | Media                        | REAL-TIME TEST VISUALIZATION PLATFORM FOR OTT TAAS PROVIDER
 14 | AI Pods                | Healthcare Technology        | TURNKEY PRODUCT DEVELOPMENT FOR B2C HEALTHCARE BRAND
 15 | AI Pods                | Telecom                      | MANAGED TESTING FOR OTT PLATFORM LAUNCH — US TELECOM
 16 | AI Pods                | Telecom                      | PARTNER INTEGRATION TESTING FOR TELECOM MVNO ECOSYSTEM
 17 | AI Pods                | Telecom                      | NETWORK PROVISIONING ENGINE MIGRATION TESTING
 18 | AI Pods                | Insurance                    | SAP PERFORMANCE TESTING FOR HIGH-LOAD HEALTH INSURANCE
 19 | AI Pods                | Retail Technology            | MICROSOFT DYNAMICS 365 QA FOR RETAIL ENTERPRISE
 20 | AI Pods                | Insurance                    | SALESFORCE QA FOR HEALTH INSURANCE COMPANY
 21 | AI Pods                | Banking                      | APP STORE RATING RECOVERY FOR DIGITAL BANK
 22 | AI Pods                | Banking                      | CAPEX TO OPEX TESTING TRANSFORMATION FOR SOUTHEAST ASIAN FINTECH
 23 | AI Pods                | Banking                      | CHATBOT AI/ML ENHANCEMENT FOR DIGITAL FINTECH
 24 | AI Pods                | Banking                      | CYBERSECURITY TESTING FOR FINANCIAL SERVICES FIRM
 25 | AI Pods                | Banking                      | END-TO-END FINTECH TESTING TRANSFORMATION
 26 | AI Pods                | Banking                      | REGRESSION TESTING ACCELERATION FOR INSTANT CREDIT PLATFORM
 27 | AI Pods                | Healthcare Technology        | FDA 21 CFR PART 11 COMPLIANCE FOR CLINICAL TRIALS MANAGEMENT
 28 | AI Pods                | Healthcare Technology        | MULTILINGUAL DISEASE MANAGEMENT PROTOCOL VALIDATION
